0.000000000,1516,0.000022676,0.8,New Point
3.230476190,1275,0.304761905,0.8,New Point
3.616507937,1469,0.040634921,0.8,New Point
3.657142857,1648,0.035555556,0.8,New Point
3.697777778,1835,0.060952381,0.8,New Point
3.895873016,1625,1.361269841,0.8,New Point
5.272380952,1827,0.025396825,0.8,New Point
5.313015873,2006,0.015238095,0.8,New Point
5.338412698,1827,0.015238095,0.8,New Point
5.404444444,1648,0.426666667,0.8,New Point
5.851428571,1835,0.015238095,0.8,New Point
5.881904762,2052,0.050793651,0.8,New Point
5.973333333,1835,1.234285714,0.8,New Point
7.243174603,2021,0.071111111,0.8,New Point
7.339682540,1827,1.031111111,0.8,New Point
8.436825397,2006,0.030476190,0.8,New Point
8.513015873,1819,0.944761905,0.8,New Point
9.488253968,1648,0.045714286,0.8,New Point
9.544126984,1477,0.538412698,0.8,New Point
10.091972789,1664,0.013061224,0.8,New Point
10.122448980,1850,0.021768707,0.8,New Point
10.152925170,2084,0.017414966,0.8,New Point
10.238548753,2208,2.902494331,0.8,New Point
13.204897959,1998,0.126258503,0.8,New Point
13.379047619,1804,0.026122449,0.8,New Point
13.426938776,1617,0.030476190,0.8,New Point
13.480634921,1469,0.101587302,0.8,New Point
13.609795918,1633,0.026122449,0.8,New Point
13.653333333,1866,0.000022676,0.8,New Point
13.675102041,2052,0.004353741,0.8,New Point
13.699773243,2223,0.573242630,0.8,New Point
14.319455782,1990,0.100136054,0.8,New Point
14.439909297,1811,0.130612245,0.8,New Point
14.621315193,1469,0.464399093,0.8,New Point
15.172789116,1648,0.060952381,0.8,New Point
15.255510204,1469,0.017414966,0.8,New Point
15.288888889,1298,0.130612245,0.8,New Point
15.464489796,1485,0.008707483,0.8,New Point
15.486258503,1679,0.004353741,0.8,New Point
15.508027211,1819,0.004353741,0.8,New Point
15.542857143,2037,0.232199546,0.8,New Point
15.795374150,1827,0.017414966,0.8,New Point
15.847619048,1656,0.239455782,0.8,New Point
16.148027211,1843,0.034829932,0.8,New Point
16.239455782,1648,0.159637188,0.8,New Point
16.422312925,1850,0.004353741,0.8,New Point
16.474557823,1640,0.013061224,0.8,New Point
16.515192744,1469,0.827210884,0.8,New Point
