sample_name,k,fundamental_f1,harmonic_f1,combined_f1
fundamental_opposite_harmonic02,8,0.8839,0.7196,0.8456
fundamental_steps,8,0.8857,0.7045,0.8424
fundamental_steps02,8,0.8645,0.8000,0.8980
fundamental_steps03,8,0.8687,0.7652,0.8991
kargyraa,8,0.0114,0.1925,0.1067
khoomei,8,0.5294,0.3230,0.4692
overtone_scale,8,0.8571,0.8705,0.9277
overtone_scale_02,8,0.8039,0.7150,0.7968
overtone_singing_song,8,0.8141,0.7120,0.8326
paralel_overtones01,8,0.8369,0.7820,0.8409
paralel_overtones02,8,0.8837,0.6860,0.8347
sygyt,8,0.3363,0.4863,0.4661
sygyt_02,8,0.5061,0.6174,0.6068
changing_fundamental,9,0.8988,0.7660,0.8735
fundamental_opposite_harmonic,9,0.8750,0.7625,0.8826
fundamental_opposite_harmonic02,9,0.8778,0.7234,0.8440
fundamental_steps,9,0.8750,0.7045,0.8361
fundamental_steps02,9,0.8421,0.7937,0.8833
fundamental_steps03,9,0.8436,0.7598,0.8826
kargyraa,9,0.0114,0.1639,0.0909
khoomei,9,0.5981,0.2840,0.4943
overtone_scale,9,0.8696,0.8817,0.9430
overtone_scale_02,9,0.7888,0.7039,0.7831
overtone_singing_song,9,0.7952,0.7072,0.8179
paralel_overtones01,9,0.7634,0.7786,0.8016
paralel_overtones02,9,0.8868,0.6936,0.8392
sygyt,9,0.4394,0.4778,0.5211
sygyt_02,9,0.6575,0.6242,0.6921
changing_fundamental,10,0.8474,0.7703,0.8463
fundamental_opposite_harmonic,10,0.8480,0.7697,0.8673
fundamental_opposite_harmonic02,10,0.8396,0.7135,0.8179
fundamental_steps,10,0.8473,0.7011,0.8189
fundamental_steps02,10,0.7167,0.7711,0.8071
fundamental_steps03,10,0.7158,0.7522,0.8072
kargyraa,10,0.0339,0.1429,0.0907
khoomei,10,0.6301,0.2716,0.5098
overtone_scale,10,0.8571,0.8791,0.9362
overtone_scale_02,10,0.7360,0.7133,0.7552
overtone_singing_song,10,0.7252,0.6977,0.7720
paralel_overtones01,10,0.6102,0.7634,0.7197
paralel_overtones02,10,0.8762,0.6936,0.8329
sygyt,10,0.5227,0.4315,0.5486
sygyt_02,10,0.7811,0.6286,0.7665
changing_fundamental,11,0.8117,0.7687,0.8227
