sample_name,cent_tolerance,algorithm,fundamental_f1,harmonic_f1,combined_f1
khoomei,40,pYIN,0.8221,0.4767,0.6921
khoomei,40,HPS,0.0263,0.1046,0.0712
overtone_scale,40,SWIPE,0.8387,0.7629,0.8641
overtone_scale,40,YIN,0.8618,0.8241,0.9060
overtone_scale,40,pYIN,0.8154,0.7867,0.8571
overtone_scale,40,HPS,0.8675,0.7539,0.8780
overtone_scale_02,40,SWIPE,0.9097,0.7129,0.8593
overtone_scale_02,40,YIN,0.8967,0.7343,0.8697
overtone_scale_02,40,pYIN,0.8941,0.8080,0.8893
overtone_scale_02,40,HPS,0.4385,0.5363,0.5130
overtone_singing_song,40,SWIPE,0.5702,0.4476,0.5682
overtone_singing_song,40,YIN,0.5744,0.4511,0.5812
overtone_singing_song,40,pYIN,0.6362,0.5331,0.6430
overtone_singing_song,40,HPS,0.4448,0.3649,0.4506
paralel_overtones01,40,SWIPE,0.8947,0.7049,0.8409
paralel_overtones01,40,YIN,0.9167,0.6949,0.8492
paralel_overtones01,40,pYIN,0.8961,0.7031,0.8382
paralel_overtones01,40,HPS,0.7463,0.5664,0.6920
paralel_overtones02,40,SWIPE,0.8962,0.8049,0.8994
paralel_overtones02,40,YIN,0.9011,0.8050,0.9040
paralel_overtones02,40,pYIN,0.8692,0.8182,0.8832
paralel_overtones02,40,HPS,0.7234,0.7079,0.7529
sygyt,40,SWIPE,0.8170,0.5237,0.7766
sygyt,40,YIN,0.7063,0.2632,0.6332
sygyt,40,pYIN,0.7116,0.5231,0.7052
sygyt,40,HPS,0.1622,0.0781,0.1441
sygyt_02,40,SWIPE,0.8148,0.5890,0.7699
sygyt_02,40,YIN,0.7027,0.4748,0.7127
sygyt_02,40,pYIN,0.5756,0.6124,0.6412
sygyt_02,40,HPS,0.6877,0.5196,0.6644
changing_fundamental,60,SWIPE,0.8769,0.7721,0.8655
changing_fundamental,60,YIN,0.9211,0.7907,0.9018
changing_fundamental,60,pYIN,0.8750,0.8442,0.8950
changing_fundamental,60,HPS,0.8213,0.7055,0.8014
fundamental_opposite_harmonic,60,SWIPE,0.7467,0.6997,0.7809
fundamental_opposite_harmonic,60,YIN,0.8144,0.7508,0.8484
fundamental_opposite_harmonic,60,pYIN,0.7307,0.8280,0.8350
fundamental_opposite_harmonic,60,HPS,0.6325,0.6873,0.7115
fundamental_opposite_harmonic02,60,SWIPE,0.7861,0.6265,0.7507
fundamental_opposite_harmonic02,60,YIN,0.8168,0.6994,0.8036
