sample_name,cent_tolerance,algorithm,fundamental_f1,harmonic_f1,combined_f1
kargyraa,200,HPS,0.2564,0.1734,0.0941
khoomei,200,SWIPE,0.8379,0.5294,0.7165
khoomei,200,YIN,0.8324,0.5625,0.7798
khoomei,200,pYIN,0.8314,0.6000,0.7444
khoomei,200,HPS,0.5463,0.2642,0.4529
overtone_scale,200,SWIPE,0.8794,0.8200,0.9133
overtone_scale,200,YIN,0.8845,0.8976,0.9531
overtone_scale,200,pYIN,0.8464,0.8333,0.8962
overtone_scale,200,HPS,0.8810,0.8384,0.9238
overtone_scale_02,200,SWIPE,0.9306,0.7982,0.9070
overtone_scale_02,200,YIN,0.8991,0.8046,0.9008
overtone_scale_02,200,pYIN,0.9097,0.9087,0.9435
overtone_scale_02,200,HPS,0.7627,0.7413,0.7871
overtone_singing_song,200,SWIPE,0.8722,0.7656,0.8943
overtone_singing_song,200,YIN,0.8753,0.7698,0.9114
overtone_singing_song,200,pYIN,0.8508,0.8283,0.9053
overtone_singing_song,200,HPS,0.8094,0.7291,0.8379
paralel_overtones01,200,SWIPE,0.9434,0.8444,0.9296
paralel_overtones01,200,YIN,0.9315,0.7937,0.9008
paralel_overtones01,200,pYIN,0.9375,0.8369,0.9210
paralel_overtones01,200,HPS,0.9434,0.7786,0.9000
paralel_overtones02,200,SWIPE,0.9065,0.8121,0.9086
paralel_overtones02,200,YIN,0.9071,0.8125,0.9108
paralel_overtones02,200,pYIN,0.8899,0.8416,0.9055
paralel_overtones02,200,HPS,0.8177,0.7293,0.8142
sygyt,200,SWIPE,0.8170,0.7331,0.8688
sygyt,200,YIN,0.7063,0.5226,0.7577
sygyt,200,pYIN,0.7466,0.7200,0.8174
sygyt,200,HPS,0.1683,0.4769,0.3695
sygyt_02,200,SWIPE,0.8434,0.7613,0.8637
sygyt_02,200,YIN,0.7097,0.5714,0.7653
sygyt_02,200,pYIN,0.6351,0.7711,0.7539
sygyt_02,200,HPS,0.6877,0.6622,0.7312
changing_fundamental,300,SWIPE,0.9284,0.8071,0.9106
changing_fundamental,300,YIN,0.9379,0.8182,0.9234
changing_fundamental,300,pYIN,0.9200,0.8698,0.9312
changing_fundamental,300,HPS,0.9164,0.7808,0.8893
fundamental_opposite_harmonic,300,SWIPE,0.9091,0.8161,0.9271
fundamental_opposite_harmonic,300,YIN,0.9026,0.8257,0.9325
fundamental_opposite_harmonic,300,pYIN,0.8930,0.8962,0.9523
fundamental_opposite_harmonic,300,HPS,0.8735,0.8169,0.9061
fundamental_opposite_harmonic02,300,SWIPE,0.9345,0.7609,0.8962
fundamental_opposite_harmonic02,300,YIN,0.9340,0.8287,0.9280
fundamental_opposite_harmonic02,300,pYIN,0.9030,0.8761,0.9258
fundamental_opposite_harmonic02,300,HPS,0.8761,0.7614,0.8593
fundamental_steps,300,SWIPE,0.9014,0.8280,0.9081
fundamental_steps,300,YIN,0.8903,0.8058,0.9058
fundamental_steps,300,pYIN,0.8920,0.8856,0.9293
fundamental_steps,300,HPS,0.8612,0.7528,0.8509
fundamental_steps02,300,SWIPE,0.9007,0.7897,0.9182
fundamental_steps02,300,YIN,0.8899,0.7902,0.9239
fundamental_steps02,300,pYIN,0.8714,0.8655,0.9323
fundamental_steps02,300,HPS,0.8975,0.8217,0.9264
fundamental_steps03,300,SWIPE,0.9002,0.8182,0.9438
fundamental_steps03,300,YIN,0.8884,0.8155,0.9476
fundamental_steps03,300,pYIN,0.8927,0.8814,0.9674
fundamental_steps03,300,HPS,0.8599,0.8168,0.9192
kargyraa,300,SWIPE,0.9407,0.0000,0.1347
kargyraa,300,YIN,0.9633,0.7283,0.8727
kargyraa,300,pYIN,0.9697,0.6640,0.8185
kargyraa,300,HPS,0.2564,0.4000,0.2210
khoomei,300,SWIPE,0.8379,0.5665,0.7315
khoomei,300,YIN,0.8324,0.5736,0.7842
khoomei,300,pYIN,0.8314,0.6264,0.7556
khoomei,300,HPS,0.5463,0.3293,0.4812
overtone_scale,300,SWIPE,0.8794,0.8473,0.9256
overtone_scale,300,YIN,0.8845,0.9179,0.9626
overtone_scale,300,pYIN,0.8464,0.8545,0.9059
overtone_scale,300,HPS,0.8810,0.8670,0.9365
overtone_scale_02,300,SWIPE,0.9306,0.8344,0.9223
overtone_scale_02,300,YIN,0.9087,0.8239,0.9147
overtone_scale_02,300,pYIN,0.9097,0.9177,0.9477
overtone_scale_02,300,HPS,0.7627,0.8180,0.8238
overtone_singing_song,300,SWIPE,0.8760,0.8000,0.9117
overtone_singing_song,300,YIN,0.8769,0.8007,0.9264
overtone_singing_song,300,pYIN,0.8546,0.8494,0.9175
overtone_singing_song,300,HPS,0.8094,0.7539,0.8494
paralel_overtones01,300,SWIPE,0.9434,0.8444,0.9296
paralel_overtones01,300,YIN,0.9315,0.7937,0.9008
paralel_overtones01,300,pYIN,0.9375,0.8369,0.9210
paralel_overtones01,300,HPS,0.9434,0.7786,0.9000
paralel_overtones02,300,SWIPE,0.9065,0.8471,0.9235
paralel_overtones02,300,YIN,0.9189,0.8199,0.9207
paralel_overtones02,300,pYIN,0.8899,0.8696,0.9189
paralel_overtones02,300,HPS,0.8177,0.7701,0.8333
sygyt,300,SWIPE,0.8170,0.7895,0.8958
sygyt,300,YIN,0.7063,0.5616,0.7755
sygyt,300,pYIN,0.7494,0.7422,0.8296
sygyt,300,HPS,0.1683,0.7022,0.5112
sygyt_02,300,SWIPE,0.8434,0.7929,0.8778
sygyt_02,300,YIN,0.7166,0.6111,0.7872
sygyt_02,300,pYIN,0.6389,0.7964,0.7690
sygyt_02,300,HPS,0.6877,0.7016,0.7504
